Participant ID,"Day Number of the Study (1,2,3 or 4)",How much time did you spend on social media in the last 1 day or 24 hours?,Could you describe how are you feeling today?,I feel content,I feel relaxed,I feel happy,I feel anxious,I feel worried,I feel tense
P1,1,2.2,"I feel good mentally, not anxious",3,4,4,2,2,1
P1,2,0.8,Wonderful!,3,4,3,2,2,1
P1,3,0.8,Feeling great!,2,2,4,2,1,1
P1,4,0.62,Excellent!,4,5,5,1,2,1
P10,1,0.98,"I am pretty relaxed an happy, just enjoying thanksgiving with my family, little tired from talking and spending time with everyone",5,4,5,1,2,1
P10,2,1.75,"drained from all the online shopping and ads, feel like most of my social media scrolling hurt my head because I was choosing whether on not to buy items",1,2,4,5,3,4
P10,3,1.22,"feeling normal, still a little drained but more alive then yesterday",2,4,4,4,1,3
P10,4,1.25,"stressed about work, spent 2 hours driving back to college, mostly texting people about projects",4,2,3,2,4,2
P2,3,8.0,Great. Relaxed and happy. ,4,5,4,1,1,1
P2,1,6.5,A little tense. Lethargic and tired.,2,2,2,2,4,5
P2,4,2.0,Very relaxed. Focused and energetic.,5,5,5,1,1,1
P2,2,4.5,"Fatigued. A little brainfog too, and sleepy.",2,1,2,3,3,5
P3,1,6.5,Frustrated ,3,3,3,4,4,3
P3,2,9.0,happy,3,3,2,2,2,3
P3,3,7.0,relaxed,3,4,4,3,3,3
P3,4,6.5,Good,4,4,4,4,3,3
P4,1,1.5,I am feeling great today. I think it is due to the upcoming Thanksgiving break. So I can finally relax.,4,3,4,2,2,2
P4,2,0.85,Feeling happy,4,4,4,2,2,2
P4,3,1.87,Feeling a little down,1,1,2,4,4,4
P4,4,1.42,Feeling a little tired,2,2,2,3,3,4
P5,1,6.0,Can't help scroll social media from time to time. But with the time limit I'll give it a second thought. Sometimes I'll close my phone but sometimes I'll continue scrolling.,3,3,4,2,2,3
P5,2,4.33,"Yesterday with the time limit reminds me again I put away my phone for twice and go back to my work. But in the evening before I go to bed. I completely ignore the time limit. Overall, the mood and efficiency in day time get better than before. ",4,5,4,2,2,2
P5,3,3.5,With more intention on screen time limit. I’ll actually feel guilty every time I press ignore time limit. But this largely reduce the chances I scroll something negative.,5,5,5,2,1,1
P5,4,2.75,Even better actually. Still the time limit block will remind me every time and distract me from scrolling negative content. I focused more on my work and less time on social media. ,5,5,5,1,1,2
P6,2,1.5,"More relaxed, spending more time with family",4,5,4,3,3,4
P6,4,2.0,"Excited to be with family, a little bored",4,3,5,3,3,3
P6,1,1.0,"restless, bored, day 1 was a little difficult because I didn't have anything else to do, tried to do a couple hobbies again",3,4,3,4,3,3
P6,3,2.0,"a little more used to the time limit, spending more time reading",4,5,4,3,2,2
P7,2,4.0,"A little bored or aimless, on my phone a lot",4,5,3,4,3,4
P7,4,3.5,"Tired, full from thanksgiving, content with family",5,4,4,3,4,4
P7,1,5.0,"just got back for break, nice to be home relaxing",4,5,4,3,2,2
P7,3,4.5,"a little bored, stressed for some of the social media outlets I've been looking at",3,3,4,5,4,4
P8,1,0.5,Very tired. I have to go out of town. So been driving all day,4,4,4,1,2,1
P8,2,0.78,Feeling good,3,4,3,2,2,2
P8,3,0.85,Feeling normal,3,4,3,1,1,1
P8,4,0.62,Feeling relaxed,4,3,3,2,2,1
P9,1,0.95,a little better about my use of social media and i’m excited to see if i can make this a part of my routine,3,3,3,3,3,3
P9,2,1.5,i was doing work for a club today which is my results are a little higher than yesterday but my recreational use is definitely lower. I also ended up overiding the limit to complete my work,2,3,4,2,4,3
P9,3,0.75,better especially since i’ve been looking at my phone less and have been anticipating fewer notifications from my phone ,4,4,3,4,2,2
P9,4,0.58,not much different from what i felt yesterday but i am sure that if i continued this for longer i would feel much better in the long run,4,4,4,2,2,3
